Time, X, Y, Z

502, 0.13, 0.46, 1.01

605, -0.01, 0.40, 0.90

707, -0.02, 0.43, 0.91

809, -0.05, 0.35, 0.87

912, -0.02, 0.37, 0.68

1014, -0.00, 0.33, 0.43

1117, 0.39, -0.02, 1.64

1219, 0.01, 0.10, 1.25

1321, -0.05, 0.10, 1.08

1424, 0.11, -0.09, 0.92

1526, 0.01, 0.22, 1.07

1629, -0.00, 0.30, 1.21

1731, -0.18, 0.23, 1.28

1833, -0.01, 0.24, 1.03

1936, -0.02, 0.20, 0.89

2038, -0.03, -0.01, 0.80

2141, -0.24, 0.11, 0.60

2243, 0.21, -0.12, 0.79

2345, 0.41, -0.04, 1.00

2448, 0.41, -0.15, 1.06

2550, 0.23, -0.08, 0.99

2653, -0.06, -0.05, 0.91

2755, -0.01, -0.42, 0.95

2857, 0.06, -0.41, 0.90

2960, 0.09, -0.52, 0.79

3062, 0.43, -0.76, 1.41

3165, 0.43, 0.31, 1.19

3267, 0.06, 0.50, 0.86

3369, 0.05, 0.50, 0.83

3472, 0.01, 0.24, 0.91

3574, 0.07, 0.14, 0.83

3677, 0.10, 0.40, 1.14

3779, 0.15, 0.49, 1.07

3881, 0.34, 0.38, 0.88

3984, 0.46, 0.14, 1.21

4086, 0.22, -0.61, 1.34

4189, -0.02, -0.60, 1.01

4291, -0.11, -0.22, 0.79

4393, -0.12, -0.06, 0.62

4496, -0.04, -0.38, 0.64

4598, 0.33, -0.96, 1.10

4701, 0.75, -0.26, 1.48

4803, 0.11, 0.52, 0.95

4905, 0.11, 0.37, 0.81

5008, 0.23, 0.30, 0.79

5110, 0.03, 0.32, 0.80

5213, 0.23, 0.53, 0.85

5315, 0.46, 0.57, 1.12

5417, 0.73, -0.18, 1.23

5520, 0.51, -0.24, 0.88

5622, 0.21, -0.61, 0.98

5725, -0.03, -0.37, 0.90

5827, 0.00, -0.21, 0.79

5929, 0.07, -0.55, 0.94

6032, 0.14, -0.44, 1.06

6134, 0.31, -0.28, 1.22

6237, 0.74, 0.22, 1.23

6339, 0.21, 0.38, 0.91

6441, 0.18, 0.32, 0.80

6544, 0.30, 0.21, 0.88

6646, 0.23, 0.04, 0.90

6749, 0.09, 0.12, 0.88

6850, -0.12, 0.46, 1.04

6952, 0.01, 0.19, 1.45

7055, 0.49, -0.06, 1.02

7157, 0.60, -0.34, 0.88

7260, 0.40, -0.09, 0.79

7362, 0.66, 0.02, 0.67

7464, 0.95, 0.10, 0.69

7567, 0.20, -0.05, 0.81

7669, -0.92, 0.17, 1.31

7772, -0.43, 0.07, 1.05

7874, 0.12, -0.12, 1.01

7976, -0.58, 0.20, 0.90

8079, -0.54, 0.07, 0.94

8181, 0.47, -0.13, 1.14

8284, -0.16, 0.26, 0.95

8386, 0.80, -0.05, 1.08

8488, 0.86, -0.30, 0.95

8591, 0.54, -0.13, 0.95

8693, 0.56, -0.06, 0.88

8796, 0.85, -0.08, 0.78

8898, -0.09, 0.43, 0.86

9000, -0.48, 0.16, 0.98

9103, -0.58, 0.03, 0.88

9205, -0.59, 0.16, 0.87

9308, -0.62, 0.15, 0.86

9410, -0.69, 0.10, 0.83

9512, -0.50, 0.12, 0.96

9615, 0.03, 0.09, 1.12

9717, 0.75, 0.41, 0.70

9820, 0.88, -0.15, 0.83

9922, 0.55, -0.16, 0.85

10024, 0.47, -0.07, 0.79

10127, 0.78, -0.18, 0.79

10229, 0.82, 0.09, 0.82

10332, -0.06, 0.14, 1.09

10435, -0.83, 0.37, 0.79

10537, -1.16, 0.41, 0.61

10640, -1.21, 0.35, 0.51

10742, -1.20, 0.44, 0.53

10845, -0.80, 0.33, 0.70

10947, -0.74, 0.24, 0.91

11049, 0.36, 0.22, 0.96

11152, 1.34, -0.18, 0.69

11254, 0.62, -0.21, 0.69

11357, 0.21, 0.03, 0.86

11459, 0.33, -0.12, 0.92

11561, 0.25, -0.39, 1.02

11664, 0.50, -0.59, 1.05

11766, 0.76, -0.28, 0.87

11869, 0.99, -0.02, 0.81

11971, 0.46, 0.42, 0.35

12073, -0.37, 0.73, -0.24

12176, -1.00, 0.62, -0.27

12278, -1.12, 0.39, -0.16

12382, -0.87, 0.67, -0.47

12484, -0.82, 0.89, -0.78

12587, -0.99, 1.03, -1.15

